dataset_name,run_label,method_family,coverage_target,budget,n_cells,n_attained,attainment_rate,mean_frontier_set_size,se_frontier_set_size,ci95_low_frontier_set_size,ci95_high_frontier_set_size,mean_coverage,mean_point_risk
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.8,80,10,10,1.0,1.669,0.11060892067701109,1.4522065154730583,1.8857934845269417,0.907,0.29399999999999993
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.8,100,10,10,1.0,1.5919871794871796,0.11124103802299726,1.373954744962105,1.8100196140122542,0.8870192307692308,0.2882371794871795
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.8,120,10,9,0.9,1.55,0.11303883305208778,1.328443887217908,1.771556112782092,0.8814814814814815,0.27407407407407397
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.8,140,10,10,1.0,1.4328947368421052,0.09656038191779055,1.2436363882832357,1.6221530854009747,0.8355263157894738,0.30302631578947375
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.9,40,10,10,1.0,2.0,0.0,2.0,2.0,1.0,0.29142857142857137
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.9,60,10,10,1.0,2.0,0.0,2.0,2.0,1.0,0.2858333333333333
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.9,80,10,10,1.0,2.0,0.0,2.0,2.0,1.0,0.2876530612244898
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.9,100,10,10,1.0,2.0,0.0,2.0,2.0,1.0,0.28375
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.9,120,10,10,1.0,2.0,0.0,2.0,2.0,1.0,0.2816666666666666
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.9,140,10,10,1.0,2.0,0.0,2.0,2.0,1.0,0.27749999999999997
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.8,30,10,10,1.0,1.6173333333333333,0.05346465314394613,1.512542613171199,1.7221240534954676,0.9053333333333333,0.348
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.8,40,10,10,1.0,1.4642857142857144,0.04960158727618966,1.3670666032243828,1.561504825347046,0.8635714285714287,0.32999999999999996
